Name,Value,Byte Offset,Type
_child113,"1.00, 1.00, 1.00, 0.00",3216,float4
_child114,"0.00, 0.00, 0.00, 1.00",3232,float4
_child115,"0.00, 0.00, 0.00, 1.00",3248,float4
_child116,"0.00, 0.001, -1.00, 0.00",3264,float4
_child117,"8000.00, 8000.00, 8000.00, 0.00",3280,float4
_child118,"0.00, 0.01563, 11.73047, 18.56641",3296,float4
_child119,"-719.00, -1157.00, 32.00, 0.00",3312,float4
_child120,,3328,float4[2]
_child120[0],"15.00, 15.00, -720.82031, -1159.93652",3328,float4
_child120[1],"75.00, 75.00, -750.87891, -1189.96582",3344,float4
_child121,,3360,float4[2]
_child121[0],"0.06667, 0.06667, 48.05469, 77.3291",3360,float4
_child121[1],"0.01333, 0.01333, 10.01172, 15.86621",3376,float4
_child122,"0.00",3392,float
_child123,"0.00",3396,float
_child124,"0.00",3400,float
_child125,"0.00",3404,float
_child126,"-710.11267, 235.17313, -1150.84998, -1.00",3408,float4
_child127,"0.00781, 0.01563, 0.00781, 0.00",3424,float4
_child128,"29.00, 13.00, 52.00, 144.00",3440,float4
_child129,"-0.00755, 0.47224, 0.01217, 1.09631",3456,float4
_child130,"-0.00755, 0.47224, 0.01217, 1.09631",3472,float4
_child131,"-0.00755, 0.47224, 0.01217, 1.09631",3488,float4
_child132,"0.00, 0.00, 0.00, 0.00",3504,float4
_child133,"0.00, 0.00, 0.00, 0.00",3520,float4
_child134,"0.00, 0.00, 0.00, 0.00",3536,float4
_child135,"-1.00, 0.00, 29.00, 0.00",3552,float4
_child136,"32.00, 0.95474, 0.00, 0.00",3568,float4
_child137,"0.03125, 0.20, 0.00, 0.00",3584,float4
_child138,"0.00, 0.00, 0.00, 0.00",3600,float4
_child139,"4.94914, 0.00, 0.00, 0.00",3616,float4
_child140,"0.50, 0.50, 0.00, 0.00",3632,float4
_child141,"1.80, 0.00, 0.00, 0.00",3648,float4
_child142,"1.00, 1.00, 0.00, 0.00",3664,float4
_child143,"0.35621, 0.00, 0.00, 0.00",3680,float4
_child144,"0.00, 0.00, 0.00, 0.00",3696,float4
_child145,"0.15, 1.20, 0.50, 0.00",3712,float4
_child146,"1.00, 1.00, 0.00, 1.00",3728,float4
_child147,"0.00, 0.00, 0.00, 0.00",3744,float4
_child148,"0.00, 0.00, 0.00, 0.00",3760,float4
_child149,"512.00, 0.00195, 0.39063, 0.00",3776,float4
_child150,"1.00, 0.00, 0.00, 0.00",3792,float4
_child151,"1.00, 1.00, 1.00, 0.00",3808,float4
_child152,"32.00, 512.00, 0.93415, 0.00",3824,float4
_child153,"-710.125, -1150.875, -710.125, -1150.875",3840,float4
_child154,"10000.00, 10000.00, 10000.00, 0.001",3856,float4
_child155,"10001.00, 10000.00, 10001.00, 0.00",3872,float4
_child156,,3888,float4x4 (row_major)
_child156.row0,"0.00, 0.00, 0.00, 0.00",,float4
_child156.row1,"0.00, 0.00, 0.00, 0.00",,float4
_child156.row2,"0.00, 0.00, 0.00, 0.00",,float4
_child156.row3,"0.00, 0.00, 0.00, 0.00",,float4
_child157,"0.00, 0.00, 0.00, 0.00",3952,float4
_child158,"0.00, 0.00, 0.00, 0.00",3968,float4
_child159,,3984,float4[32]
_child159[0],"-1.68839E-28, 1.40130E-45, 8256.00, 512.00",3984,float4
_child159[1],"0.00195, 0.39063, 0.00, 0.00",4000,float4
_child159[2],"10000.00, 10000.00, 10000.00, 0.001",4016,float4
_child159[3],"10001.00, 10000.00, 10001.00, 0.00",4032,float4
_child159[4],"0.00, 0.00, 0.00, 0.00",4048,float4
_child159[5],"0.00, 0.00, 0.00, 0.00",4064,float4
_child159[6],"0.00, 0.00, 0.00, 0.00",4080,float4
_child159[7],"32.00, 0.95641, 0.00, 0.00",4096,float4
_child159[8],"0.03125, 0.19999, 0.00, 0.00",4112,float4
_child159[9],"0.256, 0.448, -0.21, 100.00",4128,float4
_child159[10],"4.94914, 1.26, 0.00, 0.00",4144,float4
_child159[11],"0.50, 0.50, 0.00, 0.00",4160,float4
_child159[12],"1.80, 0.00, 0.00, 0.00",4176,float4
_child159[13],"1.00, 1.00, 0.00, 0.00",4192,float4
_child159[14],"0.35621, 0.00, 0.00, 0.00",4208,float4
